"ShotLocations.PLAYER_NAME","ShotLocations.TEAM_ABBREVIATION","head","Shot_Type","FGAM"
"Andre Drummond","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/203083.png","Total 3",0
"Andre Drummond","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/203083.png","Total FGAM",-19.0950306724479
"Andre Jackson Jr.","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png","Restricted",1.12131267592741
"Andre Jackson Jr.","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png","Paint Not-Restricted",0.35379288637079
"Andre Jackson Jr.","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png","Midrange",2.32521109770808
"Andre Jackson Jr.","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png","Corner 3",-1.22269484083425
"Andre Jackson Jr.","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png","Above Break 3",0.952511006992678
"Andre Jackson Jr.","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png","Total 3",-0.270183833841569
"Andre Jackson Jr.","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png","Total FGAM",3.53013282616471
"Andrew Nembhard","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png","Restricted",2.69479879989922
"Andrew Nembhard","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png","Paint Not-Restricted",1.12518409425626
"Andrew Nembhard","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png","Midrange",6.218401937046
"Andrew Nembhard","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png","Corner 3",1.74747959673548
"Andrew Nembhard","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png","Above Break 3",-3.96685134975834
"Andrew Nembhard","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png","Total 3",-2.21937175302286
